GarageArea,GrLivArea,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
0,1020,5,780,1875,1996
779,1774,4,1095,1900,1950
0,904,1,683,1922,1950
490,1382,7,673,2000,2000
840,3608,10,1107,1892,1993
205,2210,6,1008,1880,1950
373,1572,6,806,1995,1996
739,1824,7,1643,1971,2002
304,1056,5,1056,1968,1968
392,1221,5,784,1924,1950
504,1362,6,1362,1961,1961
420,848,6,848,2004,2004
527,1434,7,1454,2001,2001
628,1208,7,1208,2007,2007
566,1466,5,796,1936,1989
691,1987,8,1986,1994,1994
983,2418,7,1311,1993,1994
626,1314,7,1314,2007,2008
380,1709,7,970,2004,2004
0,1218,6,672,1971,1971
0,3395,6,1440,1914,1995
0,1200,5,1200,1987,1988
297,912,5,912,1958,1985
832,4316,10,2444,1994,1995
548,1710,7,856,2003,2003
656,2374,8,1181,2003,2004
234,1564,7,704,1941,1950
528,1466,5,1466,1959,1959
292,1383,6,1383,1960,1960
410,1535,5,0,1979,1979
576,990,5,990,1995,1995
240,1646,7,918,1941,1950
440,1928,6,1020,1910,1950
550,1725,7,539,1979,1979
541,2872,8,1683,1992,2000
576,2112,6,952,1969,1969
240,1324,4,672,1936,1950
480,1200,7,600,2005,2005
468,1344,5,672,1920,1997
500,1668,7,840,2003,2003
400,1040,3,0,1950,1950
576,900,5,900,1951,2000
812,1559,5,1559,1948,1973
248,948,4,864,1954,1954
264,923,6,923,1980,1980
782,1552,7,1552,2005,2006
642,1717,7,756,1915,1970
440,1721,5,1461,1968,1993
264,987,6,483,1973,1973
521,1200,6,1200,1995,1995
281,1716,5,768,1949,2008
336,894,5,894,1965,2009
336,1771,5,0,1960,2006
528,1173,7,1053,1974,1974
576,1287,5,1063,1959,2006
459,1382,4,1051,1963,1979
721,2520,7,1203,1995,1995
297,1215,6,1215,1958,1998
844,2526,8,1165,1994,1994
480,1200,7,600,2004,2005
560,1728,5,1728,1976,1976
480,1710,7,576,1921,1950
870,2392,8,1396,1997,1998
457,1744,7,996,1993,2003
562,1665,7,813,2007,2007
792,2696,7,1264,2007,2007
528,864,4,864,1971,1971
234,672,4,672,1941,1950
564,1320,5,1164,1966,1966
440,958,6,1078,1976,1976
550,1710,7,1710,2004,2005
502,1265,5,1219,1965,1999
400,1456,8,1273,2003,2003
576,1539,5,927,1936,1950
766,1959,7,1907,1988,1989
0,1522,5,1008,1926,1950
0,1124,5,0,1954,1954
484,2090,7,1107,1973,1973
461,1214,5,1214,1965,1965
454,1779,5,1763,1955,1974
808,1629,8,1616,2002,2003
627,1554,8,1554,2006,2006
642,2236,7,964,1997,1997
0,796,4,796,1922,1950
308,1680,6,840,1915,1976
420,848,6,848,2003,2003
528,1142,5,1142,1976,1976
564,1252,6,1602,1960,1975
564,1684,9,1684,2005,2005
888,2000,8,2000,2004,2005
834,1616,7,1616,2005,2005
531,1872,8,1299,2001,2001
225,1576,5,1042,1928,1950
575,1982,7,807,1989,1989
276,988,5,876,1950,1950
620,1844,8,1844,2005,2006
528,1258,6,1258,1971,2004
500,1288,8,1260,1996,1996
866,1634,8,1626,2006,2006
440,1322,6,855,1974,1974
403,1414,8,707,2004,2004
478,1504,7,1504,1996,1996
690,1670,7,1670,2006,2006
518,2167,7,1192,1974,2003
440,1069,6,1069,1977,1977
525,1072,6,547,2005,2006
995,1572,5,1572,1963,1963
456,1869,5,1088,1890,1996
0,882,4,882,1956,1956
676,1922,9,1922,2005,2006
352,780,5,780,1972,1972
300,1601,5,533,1958,1987
430,1530,7,1530,2005,2005
0,833,5,833,1985,1985
308,1183,3,649,1948,2002
260,1040,5,1040,1962,2010
1052,2828,8,1466,2006,2007
288,1252,6,1032,1950,1950
305,1246,5,1246,1959,1994
180,904,6,884,1926,2004
416,1652,5,686,1915,1950
288,1268,5,832,1949,1950
342,1913,6,896,1928,1950
484,1358,7,1358,2009,2010
484,1657,6,1657,1970,1970
275,838,6,816,1918,2000
390,2060,7,992,1999,1999
474,1626,7,764,2003,2004
299,1352,6,663,1969,1969
240,1376,5,768,1941,1950
240,1660,6,715,1934,1995
432,1412,6,616,2006,2007
216,1469,6,756,1906,1995
400,1430,7,384,2000,2000
495,1094,6,1094,1953,1953
758,1826,8,1814,2005,2006
576,924,5,672,1949,2006
528,1502,8,1488,1985,1985
603,1688,6,616,1997,1997
572,1262,6,1262,2006,2006
788,1905,9,1905,2006,2006
541,2031,7,1153,1998,1999
478,1350,6,1064,1974,1974
613,1829,7,941,2003,2003
300,965,5,828,1965,1965
280,924,4,672,1941,1950
905,2263,8,1055,2001,2002
540,2108,6,1127,1935,1986
528,1242,7,1242,1973,1973
240,1573,4,884,1935,1995
434,2035,7,884,2001,2001
516,1232,6,1232,1984,1984
483,1964,7,803,1976,1976
0,1140,4,576,1910,2004
450,894,5,894,1967,2003
619,2654,6,1054,1968,1984
396,768,5,768,1972,2003
0,912,4,0,1947,1950
504,2080,5,1040,1969,1969
576,1040,5,1040,1996,1996
216,1616,6,1149,1926,2004
273,1047,4,641,1885,1995
484,1803,5,1134,1957,2000
528,832,6,832,1954,1954
384,894,5,894,1966,1966
189,1192,5,596,1920,1950
772,1850,9,1833,2004,2005
288,899,5,864,1967,2004
264,892,5,864,1966,1966
506,2291,6,1214,1910,1998
360,2138,5,849,1898,1965
470,1604,6,926,1997,1998
422,2021,7,868,2006,2006
308,938,5,938,1975,1980
216,1426,7,912,1918,1998
400,1920,5,928,1948,1950
260,1098,5,1098,1955,1955
0,729,3,270,1935,2003
528,1252,6,1252,1959,1959
792,1584,5,1584,1967,1967
592,1506,9,1498,2008,2008
